distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
1580.0,145.96335005536508,158145.96335005536,-158145.96335005536,-158057.96335005536,0.0
1590.0,146.01815080268565,159146.01815080267,-159146.01815080267,-159058.01815080267,0.0
1600.0,146.0726079693951,160146.0726079694,-160146.0726079694,-160058.0726079694,0.0
1610.0,146.1267258369136,161146.12672583692,-161146.12672583692,-161058.12672583692,0.0
1620.0,146.18050860712924,162146.18050860713,-162146.18050860713,-162058.18050860713,0.0
1630.0,146.23396040435577,163146.23396040435,-163146.23396040435,-163058.23396040435,0.0
1640.0,146.28708527723057,164146.28708527723,-164146.28708527723,-164058.28708527723,0.0
1650.0,146.33988720055476,165146.33988720056,-165146.33988720056,-165058.33988720056,0.0
1660.0,146.39237007707771,166146.39237007708,-166146.39237007708,-166058.39237007708,0.0
1670.0,146.44453773922828,167146.44453773924,-167146.44453773924,-167058.44453773924,0.0
1680.0,146.49639395079387,168146.4963939508,-168146.4963939508,-168058.4963939508,0.0
1690.0,146.54794240855009,169146.54794240856,-169146.54794240856,-169058.54794240856,0.0
1700.0,146.5991867438421,170146.59918674384,-170146.59918674384,-170058.59918674384,0.0
1710.0,146.6501305241197,171146.65013052413,-171146.65013052413,-171058.65013052413,0.0
1720.0,146.70077725442758,172146.70077725442,-172146.70077725442,-172058.70077725442,0.0
1730.0,146.75113037885254,173146.75113037886,-173146.75113037886,-173058.75113037886,0.0
1740.0,146.80119328192862,174146.80119328192,-174146.80119328192,-174058.80119328192,0.0
1750.0,146.8509692900025,175146.85096929,-175146.85096929,-175058.85096929,0.0
1760.0,146.90046167255963,176146.90046167257,-176146.90046167257,-176058.90046167257,0.0
1770.0,146.94967364351277,177146.9496736435,-177146.9496736435,-177058.9496736435,0.0
1780.0,146.99860836245452,178146.99860836245,-178146.99860836245,-178058.99860836245,0.0
1790.0,147.04726893587448,179147.0472689359,-179147.0472689359,-179059.0472689359,0.0
1800.0,147.09565841834274,180147.09565841834,-180147.09565841834,-180059.09565841834,0.0
1810.0,147.1437798136603,181147.14377981366,-181147.14377981366,-181059.14377981366,0.0
1820.0,147.19163607597812,182147.19163607596,-182147.19163607596,-182059.19163607596,0.0
1830.0,147.23923011088522,183147.2392301109,-183147.2392301109,-183059.2392301109,0.0
1840.0,147.28656477646734,184147.28656477647,-184147.28656477647,-184059.28656477647,0.0
1850.0,147.33364288433688,185147.33364288433,-185147.33364288433,-185059.33364288433,0.0
1860.0,147.38046720063497,186147.38046720062,-186147.38046720062,-186059.38046720062,0.0
1870.0,147.42704044700662,187147.42704044702,-187147.42704044702,-187059.42704044702,0.0
1880.0,147.47336530155022,188147.47336530156,-188147.47336530156,-188059.47336530156,0.0
1890.0,147.5194443997415,189147.51944439975,-189147.51944439975,-189059.51944439975,0.0
1900.0,147.5652803353332,190147.56528033534,-190147.56528033534,-190059.56528033534,0.0
1910.0,147.61087566123118,191147.61087566122,-191147.61087566122,-191059.61087566122,0.0
1920.0,147.6562328903476,192147.65623289035,-192147.65623289035,-192059.65623289035,0.0
1930.0,147.7013544964321,193147.70135449644,-193147.70135449644,-193059.70135449644,0.0
1940.0,147.74624291488115,194147.74624291487,-194147.74624291487,-194059.74624291487,0.0
1950.0,147.790900543527,195147.79090054354,-195147.79090054354,-195059.79090054354,0.0
1960.0,147.83532974340613,196147.8353297434,-196147.8353297434,-196059.8353297434,0.0
1970.0,147.8795328395085,197147.87953283952,-197147.87953283952,-197059.87953283952,0.0
