distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1260.0,143.99761921862788,189143.99761921863,-189143.99761921863,-189055.99761921863,1e-10,0.0,1
1270.0,144.06628273539576,190644.0662827354,-190644.0662827354,-190556.0662827354,1e-10,0.0,1
1280.0,144.13440770923398,192144.13440770924,-192144.13440770924,-192056.13440770924,1e-10,0.0,1
1290.0,144.20200252226158,193644.20200252227,-193644.20200252227,-193556.20200252227,1e-10,0.0,1
1300.0,144.26907536241336,195144.26907536242,-195144.26907536242,-195056.26907536242,1e-10,0.0,1
1310.0,144.3356342293919,196644.33563422938,-196644.33563422938,-196556.33563422938,1e-10,0.0,1
1320.0,144.40168694039363,198144.4016869404,-198144.4016869404,-198056.4016869404,1e-10,0.0,1
1330.0,144.46724113561834,199644.46724113563,-199644.46724113563,-199556.46724113563,1e-10,0.0,1
1340.0,144.53230428357278,201144.53230428358,-201144.53230428358,-201056.53230428358,1e-10,0.0,1
1350.0,144.59688368617674,202644.59688368617,-202644.59688368617,-202556.59688368617,1e-10,0.0,1
1360.0,144.66098648368097,204144.66098648368,-204144.66098648368,-204056.66098648368,1e-10,0.0,1
1370.0,144.72461965940477,205644.7246196594,-205644.7246196594,-205556.7246196594,1e-10,0.0,1
1380.0,144.78779004430135,207144.7877900443,-207144.7877900443,-207056.7877900443,1e-10,0.0,1
1390.0,144.85050432135853,208644.85050432137,-208644.85050432137,-208556.85050432137,1e-10,0.0,1
1400.0,144.91276902984137,210144.91276902985,-210144.91276902985,-210056.91276902985,1e-10,0.0,1
1410.0,144.97459056938422,211644.97459056939,-211644.97459056939,-211556.97459056939,1e-10,0.0,1
1420.0,145.03597520393777,213145.03597520394,-213145.03597520394,-213057.03597520394,1e-10,0.0,1
1430.0,145.09692906557785,214645.0969290656,-214645.0969290656,-214557.0969290656,1e-10,0.0,1
1440.0,145.1574581581816,216145.15745815818,-216145.15745815818,-216057.15745815818,1e-10,0.0,1
1450.0,145.21756836097612,217645.21756836097,-217645.21756836097,-217557.21756836097,1e-10,0.0,1
1460.0,145.27726543196536,219145.27726543197,-219145.27726543197,-219057.27726543197,1e-10,0.0,1
1470.0,145.33655501124014,220645.33655501125,-220645.33655501125,-220557.33655501125,1e-10,0.0,1
1480.0,145.39544262417576,222145.39544262417,-222145.39544262417,-222057.39544262417,1e-10,0.0,1
1490.0,145.4539336845221,223645.45393368453,-223645.45393368453,-223557.45393368453,1e-10,0.0,1
1500.0,145.51203349739023,225145.5120334974,-225145.5120334974,-225057.5120334974,1e-10,0.0,1
1510.0,145.56974726214003,226645.56974726214,-226645.56974726214,-226557.56974726214,1e-10,0.0,1
1520.0,145.62708007517207,228145.62708007518,-228145.62708007518,-228057.62708007518,1e-10,0.0,1
1530.0,145.6840369326286,229645.68403693262,-229645.68403693262,-229557.68403693262,1e-10,0.0,1
1540.0,145.7406227330059,231145.740622733,-231145.740622733,-231057.740622733,1e-10,0.0,1
1550.0,145.79684227968247,232645.79684227967,-232645.79684227967,-232557.79684227967,1e-10,0.0,1
1560.0,145.85270028336586,234145.85270028337,-234145.85270028337,-234057.85270028337,1e-10,0.0,1
1570.0,145.9082013644613,235645.90820136445,-235645.90820136445,-235557.90820136445,1e-10,0.0,1
1580.0,145.96335005536508,237145.96335005536,-237145.96335005536,-237057.96335005536,1e-10,0.0,1
1590.0,146.01815080268565,238646.01815080267,-238646.01815080267,-238558.01815080267,1e-10,0.0,1
1600.0,146.0726079693951,240146.0726079694,-240146.0726079694,-240058.0726079694,1e-10,0.0,1
1610.0,146.1267258369136,241646.12672583692,-241646.12672583692,-241558.12672583692,1e-10,0.0,1
1620.0,146.18050860712924,243146.18050860713,-243146.18050860713,-243058.18050860713,1e-10,0.0,1
1630.0,146.23396040435577,244646.23396040435,-244646.23396040435,-244558.23396040435,1e-10,0.0,1
1640.0,146.28708527723057,246146.28708527723,-246146.28708527723,-246058.28708527723,1e-10,0.0,1
1650.0,146.33988720055476,247646.33988720056,-247646.33988720056,-247558.33988720056,1e-10,0.0,1
1660.0,146.39237007707771,249146.39237007708,-249146.39237007708,-249058.39237007708,1e-10,0.0,1
1670.0,146.44453773922828,250646.44453773924,-250646.44453773924,-250558.44453773924,1e-10,0.0,1
1680.0,146.49639395079387,252146.4963939508,-252146.4963939508,-252058.4963939508,1e-10,0.0,1
1690.0,146.54794240855009,253646.54794240856,-253646.54794240856,-253558.54794240856,1e-10,0.0,1
1700.0,146.5991867438421,255146.59918674384,-255146.59918674384,-255058.59918674384,1e-10,0.0,1
1710.0,146.6501305241197,256646.65013052413,-256646.65013052413,-256558.65013052413,1e-10,0.0,1
1720.0,146.70077725442758,258146.70077725442,-258146.70077725442,-258058.70077725442,1e-10,0.0,1
1730.0,146.75113037885254,259646.75113037886,-259646.75113037886,-259558.75113037886,1e-10,0.0,1
1740.0,146.80119328192862,261146.80119328192,-261146.80119328192,-261058.80119328192,1e-10,0.0,1
1750.0,146.8509692900025,262646.85096929,-262646.85096929,-262558.85096929,1e-10,0.0,1
1760.0,146.90046167255963,264146.9004616726,-264146.9004616726,-264058.9004616726,1e-10,0.0,1
1770.0,146.94967364351277,265646.9496736435,-265646.9496736435,-265558.9496736435,1e-10,0.0,1
1780.0,146.99860836245452,267146.99860836245,-267146.99860836245,-267058.99860836245,1e-10,0.0,1
1790.0,147.04726893587448,268647.0472689359,-268647.0472689359,-268559.0472689359,1e-10,0.0,1
1800.0,147.09565841834274,270147.0956584183,-270147.0956584183,-270059.0956584183,1e-10,0.0,1
1810.0,147.1437798136603,271647.14377981366,-271647.14377981366,-271559.14377981366,1e-10,0.0,1
1820.0,147.19163607597812,273147.19163607596,-273147.19163607596,-273059.19163607596,1e-10,0.0,1
1830.0,147.23923011088522,274647.2392301109,-274647.2392301109,-274559.2392301109,1e-10,0.0,1
1840.0,147.28656477646734,276147.28656477644,-276147.28656477644,-276059.28656477644,1e-10,0.0,1
1850.0,147.33364288433688,277647.33364288433,-277647.33364288433,-277559.33364288433,1e-10,0.0,1
1860.0,147.38046720063497,279147.38046720065,-279147.38046720065,-279059.38046720065,1e-10,0.0,1
1870.0,147.42704044700662,280647.427040447,-280647.427040447,-280559.427040447,1e-10,0.0,1
1880.0,147.47336530155022,282147.47336530156,-282147.47336530156,-282059.47336530156,1e-10,0.0,1
1890.0,147.5194443997415,283647.51944439975,-283647.51944439975,-283559.51944439975,1e-10,0.0,1
1900.0,147.5652803353332,285147.5652803353,-285147.5652803353,-285059.5652803353,1e-10,0.0,1
1910.0,147.61087566123118,286647.61087566125,-286647.61087566125,-286559.61087566125,1e-10,0.0,1
1920.0,147.6562328903476,288147.6562328903,-288147.6562328903,-288059.6562328903,1e-10,0.0,1
1930.0,147.7013544964321,289647.7013544964,-289647.7013544964,-289559.7013544964,1e-10,0.0,1
1940.0,147.74624291488115,291147.7462429149,-291147.7462429149,-291059.7462429149,1e-10,0.0,1
1950.0,147.790900543527,292647.7909005435,-292647.7909005435,-292559.7909005435,1e-10,0.0,1
1960.0,147.83532974340613,294147.8353297434,-294147.8353297434,-294059.8353297434,1e-10,0.0,1
