distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
1350.0,1.35,1.6263356599486807,1.4989628293617252,0.30962284345742963,3.4349213327678356
1360.0,1.36,1.6383825907631153,1.5193819169404201,0.30962284345742963,3.467387351160965
1370.0,1.37,1.65042952157755,1.539926506247179,0.30962284345742963,3.4999788712821585
1380.0,1.38,1.6624764523919844,1.5605964441354718,0.30962284345742963,3.5326957399848857
1390.0,1.39,1.6745233832064192,1.5813915787574384,0.30962284345742963,3.5655378054212874
1400.0,1.4,1.686570314020854,1.6023117595435905,0.30962284345742963,3.598504917021874
1410.0,1.41,1.6986172448352885,1.6233568371829628,0.30962284345742963,3.631596925475681
1420.0,1.42,1.7106641756497232,1.6445266636037177,0.30962284345742963,3.6648136827108706
1430.0,1.43,1.7227111064641578,1.6658210919541814,0.30962284345742963,3.698155041875769
1440.0,1.44,1.7347580372785925,1.6872399765843025,0.30962284345742963,3.731620857320325
1450.0,1.45,1.7468049680930273,1.7087831730275183,0.30962284345742963,3.7652109845779753
1460.0,1.46,1.758851898907462,1.7304505379830204,0.30962284345742963,3.798925280347912
1470.0,1.47,1.7708988297218966,1.7522419292984006,0.30962284345742963,3.8327636024777267
1480.0,1.48,1.7829457605363312,1.7741572059526813,0.30962284345742963,3.8667258099464425
1490.0,1.49,1.794992691350766,1.7961962280397001,0.30962284345742963,3.9008117628478955
1500.0,1.5,1.8070396221652008,1.8183588567518547,0.30962284345742963,3.935021322374485
1510.0,1.51,1.8190865529796354,1.840644954364188,0.30962284345742963,3.9693543508012534
1520.0,1.52,1.83113348379407,1.863054384218815,0.30962284345742963,4.003810711470314
1530.0,1.53,1.8431804146085047,1.8855870107096622,0.30962284345742963,4.038390268775596
1540.0,1.54,1.8552273454229393,1.9082426992675412,0.30962284345742963,4.07309288814791
1550.0,1.55,1.867274276237374,1.9310213163455092,0.30962284345742963,4.107918436040313
1560.0,1.56,1.8793212070518088,1.953922729404551,0.30962284345742963,4.142866779913789
1570.0,1.57,1.8913681378662435,1.9769468068995368,0.30962284345742963,4.177937788223209
1580.0,1.58,1.9034150686806781,2.000093418265468,0.30962284345742963,4.213131330403575
1590.0,1.59,1.9154619994951128,2.023362433904005,0.30962284345742963,4.248447276856547
1600.0,1.6,1.9275089303095474,2.0467537251702557,0.30962284345742963,4.283885498937233
1610.0,1.61,1.939555861123982,2.0702671643598336,0.30962284345742963,4.319445868941245
1620.0,1.62,1.951602791938417,2.0939026246961645,0.30962284345742963,4.355128260092011
1630.0,1.63,1.9636497227528513,2.117659980318047,0.30962284345742963,4.390932546528328
1640.0,1.64,1.975696653567286,2.1415391062674525,0.30962284345742963,4.4268586032921675
1650.0,1.65,1.9877435843817206,2.1655398784775635,0.30962284345742963,4.462906306316714
