distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB
1950.0,147.7931173216436,12.48,160.27311732164358
1960.0,147.83754652152277,12.544,160.38154652152278
1970.0,147.88174961762508,12.608,160.48974961762508
1980.0,147.92572889962383,12.672,160.59772889962383
1990.0,147.9694866225874,12.736,160.7054866225874
2000.0,148.01302500767287,12.8,160.81302500767288
2010.0,148.05634624280304,12.863999999999999,160.92034624280305
2020.0,148.0994524833257,12.928,161.0274524833257
2030.0,148.1423458526575,12.991999999999999,161.1343458526575
2040.0,148.18502844291123,13.056000000000001,161.24102844291124
2050.0,148.22750231550833,13.12,161.34750231550834
2060.0,148.2697695017763,13.184000000000001,161.4537695017763
2070.0,148.3118320035316,13.248,161.5598320035316
2080.0,148.35369179364847,13.312000000000001,161.66569179364848
2090.0,148.39535081661433,13.376,161.77135081661433
2100.0,148.4368109890716,13.440000000000001,161.8768109890716
2110.0,148.47807420034707,13.504,161.98207420034706
2120.0,148.51914231296826,13.568000000000001,162.08714231296827
2130.0,148.56001716316797,13.632,162.19201716316798
2140.0,148.6007005613771,13.696000000000002,162.2967005613771
2150.0,148.64119429270534,13.76,162.40119429270533
2160.0,148.68150011741187,13.824000000000002,162.50550011741188
2170.0,148.7216197713638,13.888,162.6096197713638
2180.0,148.76155496648533,13.952000000000002,162.71355496648533
2190.0,148.80130739119562,14.016,162.8173073911956
2200.0,148.84087871083733,14.080000000000002,162.92087871083734
2210.0,148.88027056809545,14.144,163.02427056809546
2220.0,148.91948458340602,14.208000000000002,163.12748458340602
2230.0,148.95852235535648,14.272,163.23052235535647
2240.0,148.99738546107648,14.336000000000002,163.3333854610765
2250.0,149.0360754566205,14.4,163.4360754566205
2260.0,149.07459387734127,14.463999999999999,163.53859387734127
2270.0,149.1129422382557,14.528,163.6409422382557
2280.0,149.1511220344023,14.591999999999999,163.7431220344023
2290.0,149.18913474119103,14.656,163.84513474119103
2300.0,149.2269818147451,14.719999999999999,163.9469818147451
2310.0,149.26466469223612,14.784,164.04866469223612
2320.0,149.30218479221122,14.847999999999999,164.15018479221123
2330.0,149.3395435149136,14.912,164.2515435149136
2340.0,149.3767422425961,14.975999999999999,164.3527422425961
2350.0,149.41378233982795,15.040000000000001,164.45378233982794
2360.0,149.45066515379534,15.104,164.55466515379533
2370.0,149.4873920145953,15.168000000000001,164.6553920145953
2380.0,149.52396423552347,15.232,164.75596423552346
2390.0,149.560383113356,15.296000000000001,164.856383113356
2400.0,149.59664992862537,15.36,164.95664992862538
2410.0,149.63276594589064,15.424000000000001,165.05676594589065
2420.0,149.66873241400185,15.488,165.15673241400185
2430.0,149.7045505663595,15.552000000000001,165.2565505663595
2440.0,149.7402216211678,15.616,165.35622162116778
2450.0,149.7757467816839,15.680000000000001,165.4557467816839
2460.0,149.81112723646083,15.744,165.55512723646083
2470.0,149.84636415958659,15.808000000000002,165.65436415958658
2480.0,149.88145871091757,15.872,165.75345871091758
2490.0,149.91641203630797,15.936000000000002,165.85241203630798
2500.0,149.951225267834,16.0,165.951225267834
2510.0,149.98589952401397,16.064,166.04989952401397
2520.0,150.0204359100241,16.128,166.1484359100241
2530.0,150.05483551790957,16.192,166.24683551790957
2540.0,150.08909942679202,16.256,166.34509942679202
2550.0,150.12322870307236,16.32,166.44322870307235
2560.0,150.15722440063024,16.384,166.54122440063026
2570.0,150.19108756101912,16.448,166.63908756101912
2580.0,150.22481921365784,16.512,166.73681921365784
2590.0,150.25842037601825,16.576,166.83442037601824
2600.0,150.2918920538096,16.64,166.93189205380958
2610.0,150.32523524115885,16.704,167.02923524115886
