distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
920.0,1.4049629462081452,11227.227498702834,-11197.227498702834,-11058.227498702834,0.001,0.0,1
930.0,1.4049629462081452,11349.262580210474,-11319.262580210474,-11180.262580210474,0.001,0.0,1
940.0,1.4049629462081452,11471.297661718114,-11441.297661718114,-11302.297661718114,0.001,0.0,1
950.0,1.4049629462081452,11593.332743225752,-11563.332743225752,-11424.332743225752,0.001,0.0,1
960.0,1.4049629462081452,11715.367824733392,-11685.367824733392,-11546.367824733392,0.001,0.0,1
970.0,1.4049629462081452,11837.402906241032,-11807.402906241032,-11668.402906241032,0.001,0.0,1
980.0,1.4049629462081452,11959.437987748672,-11929.437987748672,-11790.437987748672,0.001,0.0,1
990.0,1.4049629462081452,12081.47306925631,-12051.47306925631,-11912.47306925631,0.001,0.0,1
1000.0,1.4049629462081452,12203.50815076395,-12173.50815076395,-12034.50815076395,0.001,0.0,1
1010.0,1.4049629462081452,12325.54323227159,-12295.54323227159,-12156.54323227159,0.001,0.0,1
1020.0,1.4049629462081452,12447.57831377923,-12417.57831377923,-12278.57831377923,0.001,0.0,1
1030.0,1.4049629462081452,12569.613395286868,-12539.613395286868,-12400.613395286868,0.001,0.0,1
1040.0,1.4049629462081452,12691.648476794508,-12661.648476794508,-12522.648476794508,0.001,0.0,1
1050.0,1.4049629462081452,12813.683558302148,-12783.683558302148,-12644.683558302148,0.001,0.0,1
1060.0,1.4049629462081452,12935.718639809787,-12905.718639809787,-12766.718639809787,0.001,0.0,1
1070.0,1.4049629462081452,13057.753721317427,-13027.753721317427,-12888.753721317427,0.001,0.0,1
1080.0,1.4049629462081452,13179.788802825065,-13149.788802825065,-13010.788802825065,0.001,0.0,1
1090.0,1.4049629462081452,13301.823884332705,-13271.823884332705,-13132.823884332705,0.001,0.0,1
1100.0,1.4049629462081452,13423.858965840345,-13393.858965840345,-13254.858965840345,0.001,0.0,1
1110.0,1.4049629462081452,13545.894047347985,-13515.894047347985,-13376.894047347985,0.001,0.0,1
1120.0,1.4049629462081452,13667.929128855623,-13637.929128855623,-13498.929128855623,0.001,0.0,1
1130.0,1.4049629462081452,13789.964210363263,-13759.964210363263,-13620.964210363263,0.001,0.0,1
1140.0,1.4049629462081452,13911.999291870903,-13881.999291870903,-13742.999291870903,0.001,0.0,1
1150.0,1.4049629462081452,14034.034373378543,-14004.034373378543,-13865.034373378543,0.001,0.0,1
1160.0,1.4049629462081452,14156.069454886181,-14126.069454886181,-13987.069454886181,0.001,0.0,1
1170.0,1.4049629462081452,14278.104536393821,-14248.104536393821,-14109.104536393821,0.001,0.0,1
1180.0,1.4049629462081452,14400.139617901461,-14370.139617901461,-14231.139617901461,0.001,0.0,1
1190.0,1.4049629462081452,14522.1746994091,-14492.1746994091,-14353.1746994091,0.001,0.0,1
1200.0,1.4049629462081452,14644.20978091674,-14614.20978091674,-14475.20978091674,0.001,0.0,1
1210.0,1.4049629462081452,14766.244862424379,-14736.244862424379,-14597.244862424379,0.001,0.0,1
1220.0,1.4049629462081452,14888.279943932019,-14858.279943932019,-14719.279943932019,0.001,0.0,1
1230.0,1.4049629462081452,15010.315025439659,-14980.315025439659,-14841.315025439659,0.001,0.0,1
1240.0,1.4049629462081452,15132.350106947299,-15102.350106947299,-14963.350106947299,0.001,0.0,1
1250.0,1.4049629462081452,15254.385188454937,-15224.385188454937,-15085.385188454937,0.001,0.0,1
1260.0,1.4049629462081452,15376.420269962577,-15346.420269962577,-15207.420269962577,0.001,0.0,1
1270.0,1.4049629462081452,15498.455351470217,-15468.455351470217,-15329.455351470217,0.001,0.0,1
1280.0,1.4049629462081452,15620.490432977856,-15590.490432977856,-15451.490432977856,0.001,0.0,1
1290.0,1.4049629462081452,15742.525514485496,-15712.525514485496,-15573.525514485496,0.001,0.0,1
1300.0,1.4049629462081452,15864.560595993134,-15834.560595993134,-15695.560595993134,0.001,0.0,1
1310.0,1.4049629462081452,15986.595677500774,-15956.595677500774,-15817.595677500774,0.001,0.0,1
1320.0,1.4049629462081452,16108.630759008414,-16078.630759008414,-15939.630759008414,0.001,0.0,1
1330.0,1.4049629462081452,16230.665840516054,-16200.665840516054,-16061.665840516054,0.001,0.0,1
