distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1450.0,1.5390597961942367,19383.996415127553,-19353.996415127553,-19214.996415127553,0.001,0.0,1
1460.0,1.5390597961942367,19517.679149024985,-19487.679149024985,-19348.679149024985,0.001,0.0,1
1470.0,1.5390597961942367,19651.361882922414,-19621.361882922414,-19482.361882922414,0.001,0.0,1
1480.0,1.5390597961942367,19785.044616819847,-19755.044616819847,-19616.044616819847,0.001,0.0,1
1490.0,1.5390597961942367,19918.72735071728,-19888.72735071728,-19749.72735071728,0.001,0.0,1
1500.0,1.5390597961942367,20052.41008461471,-20022.41008461471,-19883.41008461471,0.001,0.0,1
1510.0,1.5390597961942367,20186.09281851214,-20156.09281851214,-20017.09281851214,0.001,0.0,1
1520.0,1.5390597961942367,20319.77555240957,-20289.77555240957,-20150.77555240957,0.001,0.0,1
1530.0,1.5390597961942367,20453.458286307003,-20423.458286307003,-20284.458286307003,0.001,0.0,1
1540.0,1.5390597961942367,20587.141020204435,-20557.141020204435,-20418.141020204435,0.001,0.0,1
1550.0,1.5390597961942367,20720.823754101864,-20690.823754101864,-20551.823754101864,0.001,0.0,1
1560.0,1.5390597961942367,20854.506487999297,-20824.506487999297,-20685.506487999297,0.001,0.0,1
1570.0,1.5390597961942367,20988.18922189673,-20958.18922189673,-20819.18922189673,0.001,0.0,1
1580.0,1.5390597961942367,21121.87195579416,-21091.87195579416,-20952.87195579416,0.001,0.0,1
1590.0,1.5390597961942367,21255.55468969159,-21225.55468969159,-21086.55468969159,0.001,0.0,1
1600.0,1.5390597961942367,21389.237423589024,-21359.237423589024,-21220.237423589024,0.001,0.0,1
1610.0,1.5390597961942367,21522.920157486453,-21492.920157486453,-21353.920157486453,0.001,0.0,1
1620.0,1.5390597961942367,21656.602891383885,-21626.602891383885,-21487.602891383885,0.001,0.0,1
1630.0,1.5390597961942367,21790.285625281318,-21760.285625281318,-21621.285625281318,0.001,0.0,1
1640.0,1.5390597961942367,21923.968359178747,-21893.968359178747,-21754.968359178747,0.001,0.0,1
1650.0,1.5390597961942367,22057.65109307618,-22027.65109307618,-21888.65109307618,0.001,0.0,1
1660.0,1.5390597961942367,22191.333826973612,-22161.333826973612,-22022.333826973612,0.001,0.0,1
1670.0,1.5390597961942367,22325.01656087104,-22295.01656087104,-22156.01656087104,0.001,0.0,1
1680.0,1.5390597961942367,22458.699294768474,-22428.699294768474,-22289.699294768474,0.001,0.0,1
1690.0,1.5390597961942367,22592.382028665907,-22562.382028665907,-22423.382028665907,0.001,0.0,1
1700.0,1.5390597961942367,22726.064762563336,-22696.064762563336,-22557.064762563336,0.001,0.0,1
1710.0,1.5390597961942367,22859.747496460768,-22829.747496460768,-22690.747496460768,0.001,0.0,1
1720.0,1.5390597961942367,22993.4302303582,-22963.4302303582,-22824.4302303582,0.001,0.0,1
1730.0,1.5390597961942367,23127.11296425563,-23097.11296425563,-22958.11296425563,0.001,0.0,1
1740.0,1.5390597961942367,23260.795698153062,-23230.795698153062,-23091.795698153062,0.001,0.0,1
1750.0,1.5390597961942367,23394.478432050495,-23364.478432050495,-23225.478432050495,0.001,0.0,1
1760.0,1.5390597961942367,23528.161165947924,-23498.161165947924,-23359.161165947924,0.001,0.0,1
1770.0,1.5390597961942367,23661.843899845357,-23631.843899845357,-23492.843899845357,0.001,0.0,1
1780.0,1.5390597961942367,23795.52663374279,-23765.52663374279,-23626.52663374279,0.001,0.0,1
1790.0,1.5390597961942367,23929.20936764022,-23899.20936764022,-23760.20936764022,0.001,0.0,1
1800.0,1.5390597961942367,24062.89210153765,-24032.89210153765,-23893.89210153765,0.001,0.0,1
1810.0,1.5390597961942367,24196.574835435084,-24166.574835435084,-24027.574835435084,0.001,0.0,1
1820.0,1.5390597961942367,24330.257569332513,-24300.257569332513,-24161.257569332513,0.001,0.0,1
1830.0,1.5390597961942367,24463.940303229945,-24433.940303229945,-24294.940303229945,0.001,0.0,1
1840.0,1.5390597961942367,24597.623037127378,-24567.623037127378,-24428.623037127378,0.001,0.0,1
1850.0,1.5390597961942367,24731.305771024807,-24701.305771024807,-24562.305771024807,0.001,0.0,1
1860.0,1.5390597961942367,24864.98850492224,-24834.98850492224,-24695.98850492224,0.001,0.0,1
1870.0,1.5390597961942367,24998.671238819672,-24968.671238819672,-24829.671238819672,0.001,0.0,1
1880.0,1.5390597961942367,25132.3539727171,-25102.3539727171,-24963.3539727171,0.001,0.0,1
1890.0,1.5390597961942367,25266.036706614534,-25236.036706614534,-25097.036706614534,0.001,0.0,1
1900.0,1.5390597961942367,25399.719440511966,-25369.719440511966,-25230.719440511966,0.001,0.0,1
1910.0,1.5390597961942367,25533.402174409395,-25503.402174409395,-25364.402174409395,0.001,0.0,1
1920.0,1.5390597961942367,25667.084908306828,-25637.084908306828,-25498.084908306828,0.001,0.0,1
