distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
2710.0,0.5,5885.765,-5875.765,-5776.765,1e-09,0.0,1
2720.0,0.5,5907.48,-5897.48,-5798.48,1e-09,0.0,1
2730.0,0.5,5929.195,-5919.195,-5820.195,1e-09,0.0,1
2740.0,0.5,5950.91,-5940.91,-5841.91,1e-09,0.0,1
2750.0,0.5,5972.625,-5962.625,-5863.625,1e-09,0.0,1
2760.0,0.5,5994.34,-5984.34,-5885.34,1e-09,0.0,1
2770.0,0.5,6016.055,-6006.055,-5907.055,1e-09,0.0,1
2780.0,0.5,6037.7699999999995,-6027.7699999999995,-5928.7699999999995,1e-09,0.0,1
2790.0,0.5,6059.485,-6049.485,-5950.485,1e-09,0.0,1
2800.0,0.5,6081.2,-6071.2,-5972.2,1e-09,0.0,1
2810.0,0.5,6102.915,-6092.915,-5993.915,1e-09,0.0,1
2820.0,0.5,6124.63,-6114.63,-6015.63,1e-09,0.0,1
2830.0,0.5,6146.345,-6136.345,-6037.345,1e-09,0.0,1
2840.0,0.5,6168.06,-6158.06,-6059.06,1e-09,0.0,1
2850.0,0.5,6189.775,-6179.775,-6080.775,1e-09,0.0,1
2860.0,0.5,6211.49,-6201.49,-6102.49,1e-09,0.0,1
2870.0,0.5,6233.205,-6223.205,-6124.205,1e-09,0.0,1
2880.0,0.5,6254.92,-6244.92,-6145.92,1e-09,0.0,1
2890.0,0.5,6276.635,-6266.635,-6167.635,1e-09,0.0,1
2900.0,0.5,6298.35,-6288.35,-6189.35,1e-09,0.0,1
2910.0,0.5,6320.065,-6310.065,-6211.065,1e-09,0.0,1
2920.0,0.5,6341.78,-6331.78,-6232.78,1e-09,0.0,1
2930.0,0.5,6363.495,-6353.495,-6254.495,1e-09,0.0,1
2940.0,0.5,6385.21,-6375.21,-6276.21,1e-09,0.0,1
2950.0,0.5,6406.925,-6396.925,-6297.925,1e-09,0.0,1
2960.0,0.5,6428.64,-6418.64,-6319.64,1e-09,0.0,1
2970.0,0.5,6450.355,-6440.355,-6341.355,1e-09,0.0,1
2980.0,0.5,6472.07,-6462.07,-6363.07,1e-09,0.0,1
2990.0,0.5,6493.785,-6483.785,-6384.785,1e-09,0.0,1
3000.0,0.5,6515.5,-6505.5,-6406.5,1e-09,0.0,1
3010.0,0.5,6537.215,-6527.215,-6428.215,1e-09,0.0,1
3020.0,0.5,6558.93,-6548.93,-6449.93,1e-09,0.0,1
3030.0,0.5,6580.6449999999995,-6570.6449999999995,-6471.6449999999995,1e-09,0.0,1
3040.0,0.5,6602.36,-6592.36,-6493.36,1e-09,0.0,1
3050.0,0.5,6624.075,-6614.075,-6515.075,1e-09,0.0,1
3060.0,0.5,6645.79,-6635.79,-6536.79,1e-09,0.0,1
3070.0,0.5,6667.505,-6657.505,-6558.505,1e-09,0.0,1
3080.0,0.5,6689.22,-6679.22,-6580.22,1e-09,0.0,1
3090.0,0.5,6710.935,-6700.935,-6601.935,1e-09,0.0,1
3100.0,0.5,6732.65,-6722.65,-6623.65,1e-09,0.0,1
3110.0,0.5,6754.365,-6744.365,-6645.365,1e-09,0.0,1
3120.0,0.5,6776.08,-6766.08,-6667.08,1e-09,0.0,1
3130.0,0.5,6797.795,-6787.795,-6688.795,1e-09,0.0,1
3140.0,0.5,6819.51,-6809.51,-6710.51,1e-09,0.0,1
3150.0,0.5,6841.225,-6831.225,-6732.225,1e-09,0.0,1
3160.0,0.5,6862.94,-6852.94,-6753.94,1e-09,0.0,1
3170.0,0.5,6884.655,-6874.655,-6775.655,1e-09,0.0,1
3180.0,0.5,6906.37,-6896.37,-6797.37,1e-09,0.0,1
3190.0,0.5,6928.085,-6918.085,-6819.085,1e-09,0.0,1
3200.0,0.5,6949.8,-6939.8,-6840.8,1e-09,0.0,1
3210.0,0.5,6971.515,-6961.515,-6862.515,1e-09,0.0,1
