distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
2140.0,0.2,1859.804,-1849.804,-1750.804,0.0
2150.0,0.2,1868.49,-1858.49,-1759.49,0.0
2160.0,0.2,1877.1760000000002,-1867.1760000000002,-1768.1760000000002,0.0
2170.0,0.2,1885.862,-1875.862,-1776.862,0.0
2180.0,0.2,1894.548,-1884.548,-1785.548,0.0
2190.0,0.2,1903.2340000000002,-1893.2340000000002,-1794.2340000000002,0.0
2200.0,0.2,1911.92,-1901.92,-1802.92,0.0
2210.0,0.2,1920.606,-1910.606,-1811.606,0.0
2220.0,0.2,1929.2920000000001,-1919.2920000000001,-1820.2920000000001,0.0
2230.0,0.2,1937.978,-1927.978,-1828.978,0.0
2240.0,0.2,1946.664,-1936.664,-1837.664,0.0
2250.0,0.2,1955.3500000000001,-1945.3500000000001,-1846.3500000000001,0.0
2260.0,0.2,1964.036,-1954.036,-1855.036,0.0
2270.0,0.2,1972.722,-1962.722,-1863.722,0.0
2280.0,0.2,1981.4080000000001,-1971.4080000000001,-1872.4080000000001,0.0
2290.0,0.2,1990.094,-1980.094,-1881.094,0.0
2300.0,0.2,1998.7800000000002,-1988.7800000000002,-1889.7800000000002,0.0
2310.0,0.2,2007.4660000000001,-1997.4660000000001,-1898.4660000000001,0.0
2320.0,0.2,2016.152,-2006.152,-1907.152,0.0
2330.0,0.2,2024.8380000000002,-2014.8380000000002,-1915.8380000000002,0.0
2340.0,0.2,2033.5240000000001,-2023.5240000000001,-1924.5240000000001,0.0
2350.0,0.2,2042.21,-2032.21,-1933.21,0.0
2360.0,0.2,2050.896,-2040.8960000000002,-1941.8960000000002,0.0
2370.0,0.2,2059.582,-2049.582,-1950.5819999999999,0.0
2380.0,0.2,2068.268,-2058.268,-1959.268,0.0
2390.0,0.2,2076.954,-2066.954,-1967.9540000000002,0.0
2400.0,0.2,2085.64,-2075.64,-1976.6399999999999,0.0
2410.0,0.2,2094.326,-2084.326,-1985.326,0.0
