distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1880.0,147.47336530155022,94147.47336530156,-94147.47336530156,-94059.47336530156,1e-10,0.0,1
1890.0,147.5194443997415,94647.51944439975,-94647.51944439975,-94559.51944439975,1e-10,0.0,1
1900.0,147.5652803353332,95147.56528033533,-95147.56528033533,-95059.56528033533,1e-10,0.0,1
1910.0,147.61087566123118,95647.61087566124,-95647.61087566124,-95559.61087566124,1e-10,0.0,1
1920.0,147.6562328903476,96147.65623289035,-96147.65623289035,-96059.65623289035,1e-10,0.0,1
1930.0,147.7013544964321,96647.70135449643,-96647.70135449643,-96559.70135449643,1e-10,0.0,1
1940.0,147.74624291488115,97147.74624291489,-97147.74624291489,-97059.74624291489,1e-10,0.0,1
1950.0,147.790900543527,97647.79090054352,-97647.79090054352,-97559.79090054352,1e-10,0.0,1
1960.0,147.83532974340613,98147.83532974341,-98147.83532974341,-98059.83532974341,1e-10,0.0,1
1970.0,147.8795328395085,98647.8795328395,-98647.8795328395,-98559.8795328395,1e-10,0.0,1
1980.0,147.92351212150723,99147.9235121215,-99147.9235121215,-99059.9235121215,1e-10,0.0,1
1990.0,147.96726984447076,99647.96726984448,-99647.96726984448,-99559.96726984448,1e-10,0.0,1
2000.0,148.01080822955623,100148.01080822956,-100148.01080822956,-100060.01080822956,1e-10,0.0,1
2010.0,148.0541294646864,100648.05412946468,-100648.05412946468,-100560.05412946468,1e-10,0.0,1
2020.0,148.0972357052091,101148.09723570521,-101148.09723570521,-101060.09723570521,1e-10,0.0,1
2030.0,148.14012907454088,101648.14012907454,-101648.14012907454,-101560.14012907454,1e-10,0.0,1
2040.0,148.1828116647946,102148.1828116648,-102148.1828116648,-102060.1828116648,1e-10,0.0,1
2050.0,148.2252855373917,102648.2252855374,-102648.2252855374,-102560.2252855374,1e-10,0.0,1
2060.0,148.2675527236597,103148.26755272366,-103148.26755272366,-103060.26755272366,1e-10,0.0,1
2070.0,148.30961522541497,103648.30961522541,-103648.30961522541,-103560.30961522541,1e-10,0.0,1
2080.0,148.35147501553186,104148.35147501553,-104148.35147501553,-104060.35147501553,1e-10,0.0,1
2090.0,148.3931340384977,104648.3931340385,-104648.3931340385,-104560.3931340385,1e-10,0.0,1
2100.0,148.434594210955,105148.43459421095,-105148.43459421095,-105060.43459421095,1e-10,0.0,1
2110.0,148.4758574222305,105648.47585742224,-105648.47585742224,-105560.47585742224,1e-10,0.0,1
2120.0,148.51692553485165,106148.51692553484,-106148.51692553484,-106060.51692553484,1e-10,0.0,1
2130.0,148.5578003850514,106648.55780038505,-106648.55780038505,-106560.55780038505,1e-10,0.0,1
2140.0,148.59848378326043,107148.59848378327,-107148.59848378327,-107060.59848378327,1e-10,0.0,1
2150.0,148.63897751458873,107648.6389775146,-107648.6389775146,-107560.6389775146,1e-10,0.0,1
2160.0,148.67928333929524,108148.6792833393,-108148.6792833393,-108060.6792833393,1e-10,0.0,1
2170.0,148.71940299324723,108648.71940299324,-108648.71940299324,-108560.71940299324,1e-10,0.0,1
2180.0,148.75933818836873,109148.75933818836,-109148.75933818836,-109060.75933818836,1e-10,0.0,1
2190.0,148.799090613079,109648.79909061307,-109648.79909061307,-109560.79909061307,1e-10,0.0,1
2200.0,148.83866193272075,110148.83866193272,-110148.83866193272,-110060.83866193272,1e-10,0.0,1
2210.0,148.87805378997885,110648.87805378997,-110648.87805378997,-110560.87805378997,1e-10,0.0,1
2220.0,148.91726780528938,111148.91726780529,-111148.91726780529,-111060.91726780529,1e-10,0.0,1
2230.0,148.95630557723985,111648.95630557725,-111648.95630557725,-111560.95630557725,1e-10,0.0,1
2240.0,148.99516868295987,112148.99516868296,-112148.99516868296,-112060.99516868296,1e-10,0.0,1
2250.0,149.03385867850386,112649.03385867851,-112649.03385867851,-112561.03385867851,1e-10,0.0,1
2260.0,149.07237709922464,113149.07237709922,-113149.07237709922,-113061.07237709922,1e-10,0.0,1
2270.0,149.11072546013907,113649.11072546014,-113649.11072546014,-113561.11072546014,1e-10,0.0,1
2280.0,149.1489052562857,114149.14890525628,-114149.14890525628,-114061.14890525628,1e-10,0.0,1
2290.0,149.1869179630744,114649.18691796307,-114649.18691796307,-114561.18691796307,1e-10,0.0,1
2300.0,149.22476503662847,115149.22476503663,-115149.22476503663,-115061.22476503663,1e-10,0.0,1
2310.0,149.26244791411952,115649.26244791412,-115649.26244791412,-115561.26244791412,1e-10,0.0,1
2320.0,149.29996801409462,116149.2999680141,-116149.2999680141,-116061.2999680141,1e-10,0.0,1
2330.0,149.337326736797,116649.3373267368,-116649.3373267368,-116561.3373267368,1e-10,0.0,1
2340.0,149.3745254644795,117149.37452546447,-117149.37452546447,-117061.37452546447,1e-10,0.0,1
2350.0,149.41156556171134,117649.4115655617,-117649.4115655617,-117561.4115655617,1e-10,0.0,1
2360.0,149.44844837567877,118149.44844837568,-118149.44844837568,-118061.44844837568,1e-10,0.0,1
2370.0,149.4851752364787,118649.48517523648,-118649.48517523648,-118561.48517523648,1e-10,0.0,1
2380.0,149.52174745740686,119149.5217474574,-119149.5217474574,-119061.5217474574,1e-10,0.0,1
2390.0,149.55816633523938,119649.55816633524,-119649.55816633524,-119561.55816633524,1e-10,0.0,1
2400.0,149.59443315050873,120149.5944331505,-120149.5944331505,-120061.5944331505,1e-10,0.0,1
2410.0,149.63054916777398,120649.63054916778,-120649.63054916778,-120561.63054916778,1e-10,0.0,1
2420.0,149.66651563588525,121149.66651563588,-121149.66651563588,-121061.66651563588,1e-10,0.0,1
2430.0,149.70233378824287,121649.70233378824,-121649.70233378824,-121561.70233378824,1e-10,0.0,1
2440.0,149.73800484305121,122149.73800484305,-122149.73800484305,-122061.73800484305,1e-10,0.0,1
2450.0,149.77353000356726,122649.77353000357,-122649.77353000357,-122561.77353000357,1e-10,0.0,1
2460.0,149.8089104583442,123149.80891045835,-123149.80891045835,-123061.80891045835,1e-10,0.0,1
2470.0,149.84414738146992,123649.84414738147,-123649.84414738147,-123561.84414738147,1e-10,0.0,1
2480.0,149.87924193280097,124149.8792419328,-124149.8792419328,-124061.8792419328,1e-10,0.0,1
2490.0,149.91419525819134,124649.91419525818,-124649.91419525818,-124561.91419525818,1e-10,0.0,1
2500.0,149.94900848971736,125149.94900848971,-125149.94900848971,-125061.94900848971,1e-10,0.0,1
2510.0,149.9836827458974,125649.9836827459,-125649.9836827459,-125561.9836827459,1e-10,0.0,1
2520.0,150.0182191319075,126150.0182191319,-126150.0182191319,-126062.0182191319,1e-10,0.0,1
2530.0,150.052618739793,126650.05261873979,-126650.05261873979,-126562.05261873979,1e-10,0.0,1
2540.0,150.08688264867538,127150.08688264867,-127150.08688264867,-127062.08688264867,1e-10,0.0,1
2550.0,150.12101192495572,127650.12101192496,-127650.12101192496,-127562.12101192496,1e-10,0.0,1
2560.0,150.1550076225136,128150.15500762251,-128150.15500762251,-128062.15500762251,1e-10,0.0,1
2570.0,150.1888707829025,128650.1888707829,-128650.1888707829,-128562.1888707829,1e-10,0.0,1
2580.0,150.2226024355412,129150.22260243555,-129150.22260243555,-129062.22260243555,1e-10,0.0,1
2590.0,150.25620359790165,129650.2562035979,-129650.2562035979,-129562.2562035979,1e-10,0.0,1
2600.0,150.28967527569299,130150.2896752757,-130150.2896752757,-130062.2896752757,1e-10,0.0,1
2610.0,150.32301846304225,130650.32301846304,-130650.32301846304,-130562.32301846304,1e-10,0.0,1
2620.0,150.35623414267152,131150.35623414267,-131150.35623414267,-131062.35623414267,1e-10,0.0,1
2630.0,150.38932328607177,131650.38932328607,-131650.38932328607,-131562.38932328607,1e-10,0.0,1
2640.0,150.42228685367326,132150.42228685366,-132150.42228685366,-132062.42228685366,1e-10,0.0,1
2650.0,150.45512579501278,132650.455125795,-132650.455125795,-132562.455125795,1e-10,0.0,1
2660.0,150.48784104889796,133150.4878410489,-133150.4878410489,-133062.4878410489,1e-10,0.0,1
2670.0,150.52043354356815,133650.52043354357,-133650.52043354357,-133562.52043354357,1e-10,0.0,1
2680.0,150.5529041968524,134150.55290419684,-134150.55290419684,-134062.55290419684,1e-10,0.0,1
2690.0,150.5852539163248,134650.58525391633,-134650.58525391633,-134562.58525391633,1e-10,0.0,1
2700.0,150.61748359945636,135150.61748359946,-135150.61748359946,-135062.61748359946,1e-10,0.0,1
2710.0,150.64959413376474,135650.64959413378,-135650.64959413378,-135562.64959413378,1e-10,0.0,1
2720.0,150.6815863969606,136150.68158639697,-136150.68158639697,-136062.68158639697,1e-10,0.0,1
2730.0,150.71346125709175,136650.71346125708,-136650.71346125708,-136562.71346125708,1e-10,0.0,1
2740.0,150.7452195726844,137150.74521957268,-137150.74521957268,-137062.74521957268,1e-10,0.0,1
2750.0,150.77686219288188,137650.77686219287,-137650.77686219287,-137562.77686219287,1e-10,0.0,1
2760.0,150.80838995758097,138150.8083899576,-138150.8083899576,-138062.8083899576,1e-10,0.0,1
2770.0,150.8398036975656,138650.83980369757,-138650.83980369757,-138562.83980369757,1e-10,0.0,1
